2Theta,Intensity
30.29122,705
30.3215,713
30.35179,711
30.38208,729
30.41236,767
30.44265,906
30.47294,1071
30.50322,970
30.53351,895
30.5638,891
30.59408,753
30.62437,813
30.65466,754
30.68494,749
30.71523,697
30.74552,797
30.7758,778
30.80609,801
30.83638,821
30.86666,864
30.89695,931
30.92724,906
30.95752,954
30.98781,1006
31.0181,933
31.04838,1014
31.07867,1103
31.10896,1210
31.13924,1267
31.16953,1414
31.19982,1586
31.2301,2047
31.26039,2633
31.29068,3427
31.32096,4251
31.35125,4965
31.38154,5166
31.41182,4603
31.44211,4078
31.4724,3416
31.50268,2955
31.53297,2658
31.56326,2734
31.59354,2890
31.62383,2887
31.65412,3008
31.6844,3008
31.71469,2501
31.74498,2211
31.77526,1973
31.80555,1755
31.83584,1633
31.86612,1652
31.89641,1709
31.9267,1827
31.95698,1780
31.98727,1728
32.01756,1609
32.04784,1395
32.07813,1270
32.10842,1023
32.1387,1041
32.16899,940
32.19928,886
32.22956,902
32.25985,853
32.29014,872
32.32042,866
32.35071,820
32.381,935
32.41128,1165
32.44157,1325
32.47186,1750
32.50214,1856
32.53243,1697
32.56272,1540
32.593,1313
32.62329,1049
32.65358,947
32.68386,876
32.71415,817
32.74444,752
32.77472,782
32.80501,776
32.8353,868
32.86558,891
32.89587,968
32.92616,1120
32.95644,1097
32.98673,1040
33.01702,1071
33.0473,1023
33.07759,907
33.10788,923
33.13816,878
33.16845,794
33.19874,819
33.22902,822
33.25931,867
33.2896,920
33.31988,992
33.35017,1110
33.38046,1266
33.41074,1369
33.44103,1332
33.47132,1408
33.5016,1600
33.53189,1927
33.56218,2614
33.59246,2887
33.62275,3195
33.65304,2915
33.68332,2496
33.71361,2142
33.7439,1656
33.77418,1248
33.80447,1030
33.83476,905
33.86504,807
33.89533,777
33.92562,742
33.9559,710
33.98619,720
34.01648,749
34.04676,742
34.07705,794
34.10734,775
34.13762,749
34.16791,814
34.1982,744
34.22848,748
34.25877,804
34.28906,829
34.31934,825
34.34963,828
34.37992,759
34.4102,783
34.44049,774
34.47078,835
34.50106,773
34.53135,833
34.56164,832
34.59192,834
34.62221,859
34.6525,791
34.68278,794
34.71307,803
34.74336,733
34.77364,710
34.80393,773
34.83422,824
34.8645,879
34.89479,1079
34.92508,1272
34.95536,1593
34.98565,1822
35.01594,1732
35.04622,1856
35.07651,1927
35.1068,1812
35.13708,1520
35.16737,1476
35.19766,1315
35.22794,1190
35.25823,1280
35.28852,1312
35.3188,1363
35.34909,1249
35.37938,1227
35.40966,1102
35.43995,958
35.47024,925
35.50052,1028
35.53081,899
35.5611,857
35.59138,849
35.62167,796
35.65196,773
35.68224,730
35.71253,687
35.74282,640
35.7731,704
35.80339,657
35.83368,718
35.86396,724
35.89425,591
35.92454,638
35.95482,617
35.98511,656
36.0154,661
36.04568,687
36.07597,618
36.10626,669
36.13654,663
36.16683,763
36.19712,806
36.2274,836
36.25769,923
36.28798,1050
36.31826,1221
36.34855,1524
36.37884,1666
36.40912,1761
36.43941,1849
36.4697,1699
36.49998,1618
36.53027,1409
36.56056,1194
36.59084,1028
36.62113,912
36.65142,978
36.6817,889
36.71199,863
36.74227,923
36.77256,879
36.80285,850
36.83313,889
36.86342,898
36.89371,863
36.92399,786
36.95428,855
36.98457,768
37.01485,763
37.04514,764
37.07543,800
37.10571,900
37.136,805
37.16629,805
37.19657,864
37.22686,806
37.25715,728
37.28743,692
37.31772,671
37.34801,639
37.37829,616
37.40858,562
37.43887,599
37.46915,550
37.49944,559
37.52973,552
37.56001,509
37.5903,511
37.62059,552
37.65087,557
37.68116,518
37.71145,560
37.74173,560
37.77202,568
37.80231,606
37.83259,687
37.86288,718
37.89317,791
37.92345,904
37.95374,961
37.98403,1091
38.01431,1235
38.0446,1078
38.07489,962
38.10517,961
38.13546,858
38.16575,778
38.19603,680
38.22632,680
38.25661,642
38.28689,623
38.31718,620
38.34747,617
38.37775,619
